epoch,negative_elbo
11,0.0
12,0.0
13,0.0
14,0.0
15,0.0
epoch,negative_elbo
1,Inf
2,0.0
3,0.0
4,0.0
5,0.0
6,0.0
7,0.0
8,0.0
9,0.0
10,0.0
11,0.0
12,0.0
13,0.0
14,0.0
15,0.0
epoch,negative_elbo
1,3341.7378993600482
2,525.2168653331789
3,40.80664770873983
4,3.6510831800732557
5,2.118306674871758
6,2.075993001708074
7,2.075289694372966
8,2.0765889088835983
9,2.0708560117599926
10,2.0767743343638654
11,2.0791726365779155
12,2.0759669649950516
13,2.072634744342356
14,2.0710819113723513
15,2.0748744429996497
epoch,negative_elbo
1,3335.0732063839105
epoch,negative_elbo
1,3337.479773229998
epoch,negative_elbo
1,286810.1868656794
epoch,negative_elbo
1,4966.642344780905
epoch,negative_elbo
1,4958.446924080871
2,798.1338171149579
3,95.55602166693585
4,26.7007433921569
5,23.26281672890162
6,23.125716547944435
7,23.10912207887422
8,23.105479479430205
9,23.103107552753954
10,23.100848488799343
11,23.102753633240916
12,23.095188410754005
13,23.097855783189317
14,23.095983678371237
15,23.093508962613285
epoch,negative_elbo
1,8392.741984791213
2,1316.1634412281076
3,303.0094981106758
4,175.87256592093976
5,163.51290242504103
6,161.51636064089718
7,161.03546702542738
8,160.83727075498624
9,160.83080645549836
10,160.77864558426504
epoch,negative_elbo
1,17.589788925768207
2,0.0
3,0.0
4,0.0
5,0.0
6,0.0
7,0.0
8,0.0
9,0.0
10,0.0
epoch,negative_elbo
1,16.83810462861719
epoch,negative_elbo
1,17.015326002210827
epoch,negative_elbo
1,8920.568665073442
epoch,negative_elbo
1,Inf
epoch,negative_elbo
1,11.141951873722121
epoch,negative_elbo
1,-2.5869760555431713
epoch,negative_elbo
1,11.851554862959448
epoch,negative_elbo
1,7.435841714209974e18
epoch,negative_elbo
1,9.646569096455353
epoch,negative_elbo
1,7.255871013244692e22
epoch,negative_elbo
1,8.536154462142536e22
epoch,negative_elbo
1,1.7315207705651668e16
epoch,negative_elbo
1,-118972.55021866359
epoch,negative_elbo
1,Inf
epoch,negative_elbo
1,8819.996173579735
epoch,negative_elbo
1,8569.25954782249
epoch,negative_elbo
1,0.0
epoch,negative_elbo
1,5406.155030431546
epoch,negative_elbo
1,5740.830114874868
epoch,negative_elbo
1,5794.8644298605195
2,2217.9435668940564
epoch,negative_elbo
1,5820.643372049396
2,2221.3635758974424
3,886.8898633360739
4,389.9808996575726
5,191.17336205530418
6,156.21627441749723
7,144.858502566658
8,141.88047241301365
9,140.83370122830408
10,140.46480082616023
11,140.25960864696037
12,140.2135855422359
13,140.1647856595183
14,140.18785654154053
15,140.17779133604546
16,140.10904337779618
17,140.10170877678735
18,140.12370247662773
19,140.13677357550506
20,140.09621345613584
epoch,negative_elbo
1,113525.96922155967
2,64470.38412755687
3,49641.68677766488
4,18238.648427159365
5,11849.260879273046
6,10606.766297423319
7,9727.447316238542
8,9009.205643714115
9,8387.908127029024
10,7983.449492536347
11,7735.553334726609
12,7585.599875692873
13,7473.133644076997
14,7408.947186924921
15,7340.958532870766
16,7292.419515881834
17,7253.650445469235
18,7212.924422091184
19,7177.701654953184
20,7146.730730422715
epoch,negative_elbo
1,124990.401363672
2,79174.07659130373
3,71857.39623981681
4,63903.735255023894
5,38869.41450455706
6,13016.288885806924
7,10764.817367433285
8,8839.54960764498
9,7943.211495318578
10,7652.694895594083
11,7507.59447679768
12,7426.461506386503
13,7377.861805401803
14,7323.51381123147
15,7285.681836730127
16,7255.3626634520015
17,7236.431049237262
18,7204.283999894124
19,7176.527100653188
20,7155.892063510868
epoch,negative_elbo
1,7143.484195256176
2,7114.076833038509
3,7096.3547352970245
21,7183.595444609894
21,7186.483878254193
22,7162.87681379682
23,7139.9156060480855
24,7128.967639054053
25,7106.325933541018
26,7090.46155391963
27,7076.443095258779
28,7066.9866163487195
29,7053.011274132925
30,7038.032008124977
31,11220.235426988298
32,11201.31316425224
33,11189.239050261636
34,11177.813825494775
35,11173.018455626345
36,11167.017956446598
37,11157.6344841682
38,11153.408376212812
39,11145.538124376324
40,11142.999721511324
31,9096.196477068934
32,8275.810817187566
33,8120.89428263382
34,8037.908868475476
35,7988.815151461573
36,7958.640912244487
37,7931.464207804392
38,7904.812030322648
39,7881.187093786867
40,7867.646668588846
31,7180.160664830958
32,7107.460042925634
33,7086.475696943921
34,7065.819097957031
35,7051.9399582176675
36,7134.738883757707
37,7095.1769307478
38,7067.2189000726885
39,7056.511906622981
40,7040.533863298218
41,7098.707863774521
42,7061.343984016172
43,7045.588428580589
44,7027.326730655025
45,7032.307518864621
31,7564.7732620285315
32,7279.225036088663
33,7206.981220305868
34,7171.101131780166
35,7143.801675435848
26,7635.303553509191
27,7346.649803252321
28,7276.863892203051
29,7231.458878759976
30,7196.592131370912
